snapshot_date,team,p_advance,p_r16,p_qf,p_sf,p_final,p_champion
2026-07-15,Spain,1.0,1.0,1.0,1.0,1.0,0.6067
2026-07-15,Argentina,1.0,1.0,1.0,1.0,0.6473,0.2889
2026-07-15,England,1.0,1.0,1.0,1.0,0.3527,0.1044
2026-07-15,Algeria,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Australia,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Austria,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Belgium,1.0,1.0,1.0,0.0,0.0,0.0
2026-07-15,Bosnia and Herzegovina,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Brazil,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Canada,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Cape Verde,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Colombia,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Croatia,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,DR Congo,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Ecuador,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Egypt,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,France,1.0,1.0,1.0,1.0,0.0,0.0
2026-07-15,Germany,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Ghana,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Haiti,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Iran,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Ivory Coast,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Japan,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Jordan,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Mexico,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Morocco,1.0,1.0,1.0,0.0,0.0,0.0
2026-07-15,Netherlands,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Norway,1.0,1.0,1.0,0.0,0.0,0.0
2026-07-15,Panama,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Paraguay,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Portugal,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Qatar,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Scotland,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Senegal,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,South Africa,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,South Korea,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Sweden,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Switzerland,1.0,1.0,1.0,0.0,0.0,0.0
2026-07-15,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Turkey,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,USA,1.0,1.0,0.0,0.0,0.0,0.0
2026-07-15,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
